sheet,indicator_code,indicator_title,geo_name,geo_code,geo_parent,section,metric,year,value,geo_version
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Nông thôn,,,Khu vực,rate_percent,2020,7.1,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Nông thôn,,,Khu vực,rate_percent,2021,6.5,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Nông thôn,,,Khu vực,rate_percent,2022,5.9,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Nông thôn,,,Khu vực,rate_percent,2023,4.8,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Nông thôn,,,Khu vực,rate_percent,2024,3.5,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Đồng bằng sông Hồng,,,Vùng,rate_percent,2006,10,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Đồng bằng sông Hồng,,,Vùng,rate_percent,2008,8.6,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Đồng bằng sông Hồng,,,Vùng,rate_percent,2010,8.3,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Đồng bằng sông Hồng,,,Vùng,rate_percent,2012,6,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Đồng bằng sông Hồng,,,Vùng,rate_percent,2013,4.9,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Đồng bằng sông Hồng,,,Vùng,rate_percent,2014,4,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Đồng bằng sông Hồng,,,Vùng,rate_percent,2015,3.2,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Đồng bằng sông Hồng,,,Vùng,rate_percent,2016,2.4,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Đồng bằng sông Hồng,,,Vùng,rate_percent,2020,1.3,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Đồng bằng sông Hồng,,,Vùng,rate_percent,2021,1.2,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Đồng bằng sông Hồng,,,Vùng,rate_percent,2022,0.9,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Đồng bằng sông Hồng,,,Vùng,rate_percent,2023,0.7,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Đồng bằng sông Hồng,,,Vùng,rate_percent,2024,0.5,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Trung du và miền núi phía Bắc,,,Vùng,rate_percent,2006,27.5,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Trung du và miền núi phía Bắc,,,Vùng,rate_percent,2008,25.1,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Trung du và miền núi phía Bắc,,,Vùng,rate_percent,2010,29.4,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Trung du và miền núi phía Bắc,,,Vùng,rate_percent,2012,23.8,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Trung du và miền núi phía Bắc,,,Vùng,rate_percent,2013,21.9,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Trung du và miền núi phía Bắc,,,Vùng,rate_percent,2014,18.4,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Trung du và miền núi phía Bắc,,,Vùng,rate_percent,2015,16,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Trung du và miền núi phía Bắc,,,Vùng,rate_percent,2016,13.8,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Trung du và miền núi phía Bắc,,,Vùng,rate_percent,2020,14.4,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Trung du và miền núi phía Bắc,,,Vùng,rate_percent,2021,13.4,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Trung du và miền núi phía Bắc,,,Vùng,rate_percent,2022,12.8,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Trung du và miền núi phía Bắc,,,Vùng,rate_percent,2023,10.7,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Trung du và miền núi phía Bắc,,,Vùng,rate_percent,2024,7.8,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Bắc Trung Bộ và duyên hải miền Trung,,,Vùng,rate_percent,2006,22.2,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Bắc Trung Bộ và duyên hải miền Trung,,,Vùng,rate_percent,2008,19.2,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Bắc Trung Bộ và duyên hải miền Trung,,,Vùng,rate_percent,2010,20.4,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Bắc Trung Bộ và duyên hải miền Trung,,,Vùng,rate_percent,2012,16.1,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Bắc Trung Bộ và duyên hải miền Trung,,,Vùng,rate_percent,2013,14,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Bắc Trung Bộ và duyên hải miền Trung,,,Vùng,rate_percent,2014,11.8,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Bắc Trung Bộ và duyên hải miền Trung,,,Vùng,rate_percent,2015,9.8,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Bắc Trung Bộ và duyên hải miền Trung,,,Vùng,rate_percent,2016,8,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Bắc Trung Bộ và duyên hải miền Trung,,,Vùng,rate_percent,2020,6.5,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Bắc Trung Bộ và duyên hải miền Trung,,,Vùng,rate_percent,2021,5.7,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Bắc Trung Bộ và duyên hải miền Trung,,,Vùng,rate_percent,2022,5.2,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Bắc Trung Bộ và duyên hải miền Trung,,,Vùng,rate_percent,2023,3.9,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Bắc Trung Bộ và duyên hải miền Trung,,,Vùng,rate_percent,2024,2.7,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Tây Nguyên,,,Vùng,rate_percent,2006,24,old_63
1.1,1.1,"Tỷ lệ hộ nghèo phân theo thành thị, nông thôn và theo vùng, địa phương",Tây Nguyên,,,Vùng,rate_percent,2008,21,old_63
